日期,机组名称,变动成本电价
2024-01-03,东莞129机组,399.66
2024-01-03,中山126机组,459.39
2024-01-03,中山127机组,459.39
2024-01-03,东莞130机组,399.66
2024-01-03,梅州125机组,437.4
2024-01-03,梅州107机组,534.55
2024-01-03,梅州108机组,534.55
2024-01-03,中山229机组,757.44
2024-01-03,江门65机组,399.66
2024-01-03,东莞211机组,699.18
2024-01-03,东莞212机组,699.18
2024-01-03,江门153机组,514.51
2024-01-03,江门154机组,514.51
2024-01-03,茂名84机组,514.51
2024-01-03,佛山147机组,514.51
2024-01-03,佛山148机组,514.51
2024-01-03,珠海222机组,699.18
2024-01-03,珠海223机组,699.18
2024-01-03,云浮139机组,514.51
2024-01-03,云浮140机组,514.51
2024-01-03,云浮100机组,464.39
2024-01-03,韶关149机组,524.55
2024-01-03,韶关150机组,524.55
2024-01-03,深圳218机组,757.44
2024-01-03,深圳219机组,757.44
2024-01-03,广州214机组,757.44
2024-01-03,广州215机组,757.44
2024-01-03,汕头27机组,419.33
2024-01-03,云浮155机组,514.51
2024-01-03,珠海220机组,699.18
2024-01-03,珠海221机组,699.18
2024-01-03,中山224机组,699.18
2024-01-03,中山225机组,699.18
2024-01-03,中山226机组,699.18
2024-01-03,云浮156机组,514.51
2024-01-03,珠海23机组,399.66
2024-01-03,珠海24机组,399.66
2024-01-03,广州131机组,464.17
2024-01-03,广州132机组,464.17
2024-01-03,韶关158机组,529.55
2024-01-03,东莞233机组,757.44
2024-01-03,东莞234机组,757.44
2024-01-03,湛江80机组,419.33
2024-01-03,深圳355机组,300.0
2024-01-03,湛江81机组,419.33
2024-01-03,阳江361机组,300.0
2024-01-03,阳江362机组,300.0
2024-01-03,深圳356机组,300.0
2024-01-03,深圳357机组,300.0
2024-01-03,深圳358机组,300.0
2024-01-03,阳江363机组,300.0
2024-01-03,阳江364机组,300.0
2024-01-03,中山227机组,699.18
2024-01-03,中山228机组,699.18
2024-01-03,惠州238机组,432.97
2024-01-03,广州250机组,432.97
